Time [s],Sig [V]
-4.7706480E-02,4.3375992E+00
-4.7701800E-02,4.3375992E+00
-4.7697120E-02,4.3378281E+00
-4.7692440E-02,4.3367599E+00
-4.7687760E-02,4.3370651E+00
-4.7683080E-02,4.3381332E+00
-4.7678400E-02,4.3373703E+00
-4.7673720E-02,4.3367599E+00
-4.7669040E-02,4.3382095E+00
-4.7664360E-02,4.3382858E+00
-4.7659680E-02,4.3379044E+00
-4.7655000E-02,4.3376755E+00
-4.7650320E-02,4.3376755E+00
-4.7645640E-02,4.3379044E+00
-4.7640960E-02,4.3384384E+00
-4.7636280E-02,4.3387436E+00
-4.7631600E-02,4.3382095E+00
-4.7626920E-02,4.3388962E+00
-4.7622240E-02,4.3389725E+00
-4.7617560E-02,4.3385910E+00
-4.7612880E-02,4.3385147E+00
-4.7608200E-02,4.3382858E+00
-4.7603520E-02,4.3382858E+00
-4.7598840E-02,4.3382095E+00
-4.7594160E-02,4.3384384E+00
-4.7589480E-02,4.3385147E+00
-4.7584800E-02,4.3389725E+00
-4.7580120E-02,4.3389725E+00
-4.7575440E-02,4.3386673E+00
-4.7570760E-02,4.3394302E+00
-4.7566080E-02,4.3385147E+00
-4.7561400E-02,4.3387436E+00
-4.7556720E-02,4.3392014E+00
-4.7552040E-02,4.3393539E+00
-4.7547360E-02,4.3383621E+00
-4.7542680E-02,4.3392014E+00
-4.7538000E-02,4.3391251E+00
-4.7533320E-02,4.3395828E+00
-4.7528640E-02,4.3399643E+00
-4.7523960E-02,4.3389725E+00
-4.7519280E-02,4.3388962E+00
-4.7514600E-02,4.3390488E+00
-4.7509920E-02,4.3392776E+00
-4.7505240E-02,4.3386673E+00
-4.7500560E-02,4.3385910E+00
-4.7495880E-02,4.3383621E+00
-4.7491200E-02,4.3386673E+00
-4.7486520E-02,4.3395065E+00
-4.7481840E-02,4.3398117E+00
-4.7477160E-02,4.3398880E+00
-4.7472480E-02,4.3401932E+00
-4.7467800E-02,4.3392776E+00
-4.7463120E-02,4.3398117E+00
-4.7458440E-02,4.3395828E+00
-4.7453760E-02,4.3395828E+00
-4.7449080E-02,4.3390488E+00
-4.7444400E-02,4.3393539E+00
-4.7439720E-02,4.3394302E+00
-4.7435040E-02,4.3401169E+00
-4.7430360E-02,4.3398117E+00
-4.7425680E-02,4.3393539E+00
-4.7421000E-02,4.3399643E+00
-4.7416320E-02,4.3405746E+00
-4.7411640E-02,4.3406509E+00
-4.7406960E-02,4.3402695E+00
-4.7402280E-02,4.3402695E+00
-4.7397600E-02,4.3402695E+00
-4.7392920E-02,4.3404221E+00
-4.7388240E-02,4.3409561E+00
-4.7383560E-02,4.3411850E+00
-4.7378880E-02,4.3408035E+00
-4.7374200E-02,4.3414902E+00
-4.7369520E-02,4.3417953E+00
-4.7364840E-02,4.3417191E+00
-4.7360160E-02,4.3419479E+00
-4.7355480E-02,4.3413376E+00
-4.7350800E-02,4.3405746E+00
-4.7346120E-02,4.3409561E+00
-4.7341440E-02,4.3404221E+00
-4.7336760E-02,4.3409561E+00
-4.7332080E-02,4.3412613E+00
-4.7327400E-02,4.3417953E+00
-4.7322720E-02,4.3415665E+00
-4.7318040E-02,4.3411087E+00
-4.7313360E-02,4.3418716E+00
-4.7308680E-02,4.3414139E+00
-4.7304000E-02,4.3424820E+00
-4.7299320E-02,4.3426346E+00
-4.7294640E-02,4.3421005E+00
-4.7289960E-02,4.3421768E+00
-4.7285280E-02,4.3417953E+00
-4.7280600E-02,4.3423294E+00
-4.7275920E-02,4.3416428E+00
-4.7271240E-02,4.3422531E+00
-4.7266560E-02,4.3418716E+00
-4.7261880E-02,4.3419479E+00
-4.7257200E-02,4.3424820E+00
-4.7252520E-02,4.3421768E+00
-4.7247840E-02,4.3418716E+00
-4.7243160E-02,4.3426346E+00
-4.7238480E-02,4.3415665E+00
-4.7233800E-02,4.3423294E+00
-4.7229120E-02,4.3421768E+00
-4.7224440E-02,4.3423294E+00
-4.7219760E-02,4.3422531E+00
-4.7215080E-02,4.3422531E+00
-4.7210400E-02,4.3427109E+00
-4.7205720E-02,4.3426346E+00
-4.7201040E-02,4.3424820E+00
-4.7196360E-02,4.3428635E+00
-4.7191680E-02,4.3428635E+00
-4.7187000E-02,4.3430923E+00
-4.7182320E-02,4.3435501E+00
-4.7177640E-02,4.3432449E+00
-4.7172960E-02,4.3434738E+00
-4.7168280E-02,4.3428635E+00
-4.7163600E-02,4.3429398E+00
-4.7158920E-02,4.3423294E+00
-4.7154240E-02,4.3419479E+00
-4.7149560E-02,4.3421005E+00
-4.7144880E-02,4.3424057E+00
-4.7140200E-02,4.3423294E+00
-4.7135520E-02,4.3426346E+00
-4.7130840E-02,4.3424820E+00
-4.7126160E-02,4.3429398E+00
-4.7121480E-02,4.3432449E+00
-4.7116800E-02,4.3438553E+00
-4.7112120E-02,4.3439316E+00
-4.7107440E-02,4.3433212E+00
-4.7102760E-02,4.3433212E+00
-4.7098080E-02,4.3435501E+00
-4.7093400E-02,4.3430923E+00
-4.7088720E-02,4.3437790E+00
-4.7084040E-02,4.3435501E+00
-4.7079360E-02,4.3436264E+00
-4.7074680E-02,4.3441605E+00
-4.7070000E-02,4.3427109E+00
-4.7065320E-02,4.3430161E+00
-4.7060640E-02,4.3427872E+00
